id,bsf_scheme_id,bsf_support_purpose_id
1620,893,2
1621,895,11
1622,895,10
1623,895,15
1624,895,18
1625,895,6
1626,895,8
1627,896,11
1628,896,1
1629,896,6
1630,896,2
1631,897,11
1632,897,1
1633,898,11
1634,898,1
1635,898,6
1636,894,6
1637,891,11
1638,891,10
1639,891,15
1640,891,8
1641,899,1
1642,900,1
1643,901,11
1644,901,10
1645,901,12
1646,901,15
1647,901,1
1648,901,8
1649,901,2
1650,902,11
1651,902,1
1652,903,10
1653,904,6
1654,905,11
1655,905,15
1656,905,18
1657,905,4
1658,905,6
1659,905,2
1660,906,11
1661,906,10
1662,906,18
1663,906,1
1664,906,4
1665,906,8
1666,899,1
1667,900,1
1668,901,11
1669,901,10
1670,901,12
1671,901,15
1672,901,1
1673,901,8
1674,901,2
1675,902,11
1676,902,1
1677,903,10
1678,904,6
1679,905,11
1680,905,15
1681,905,18
1682,905,4
1683,905,6
1684,905,2
1685,906,11
1686,906,10
1687,906,18
1688,906,1
1689,906,4
1690,906,8
1691,907,11
1692,907,10
1693,907,15
1694,907,18
1695,907,4
1696,907,6
1697,907,8
1698,1024,11
1699,1024,10
1700,1025,11
1701,1025,10
1702,1025,15
1703,1025,5
1704,1025,18
1705,1025,14
1706,1025,4
1707,1025,6
1708,1025,8
1709,907,11
1710,907,10
1711,907,15
1712,907,18
1713,907,4
1714,907,6
1715,907,8
1716,1024,11
1717,1024,10
1718,1025,11
1719,1025,10
1720,1025,15
1721,1025,5
1722,1025,18
1723,1025,14
1724,1025,4
1725,1025,6
1726,1025,8
