id,bsf_scheme_id,bsf_business_type_id
1383,209,2
1384,209,3
1385,211,6
1386,211,1
1387,211,2
1388,211,3
1389,225,1
1390,225,2
1391,225,3
1392,213,6
1393,213,1
1394,213,2
1395,213,3
1396,216,6
1397,216,1
1398,216,2
1399,216,3
1400,216,4
1401,219,1
1402,219,2
1403,219,3
1404,219,4
1405,221,6
1406,221,1
1407,221,2
1408,221,3
1409,224,1
1410,224,2
1411,224,3
1412,224,4
1413,208,1
1414,208,2
1415,208,3
1416,223,1
1417,223,2
1418,223,3
1419,202,6
1420,202,1
1421,202,2
1422,202,3
1423,202,4
1424,222,1
1425,222,2
1426,222,3
1427,222,4
1428,204,1
1429,204,2
1430,204,3
1431,218,1
1432,218,2
1433,218,3
1434,215,6
1435,215,1
1436,215,2
1437,215,3
1438,215,4
1439,214,1
1440,214,2
1441,214,3
1442,214,4
1443,226,6
1444,226,1
1445,226,2
1446,226,3
1447,226,4
1448,231,1
1449,231,2
1450,231,3
1451,242,4
1452,242,5
1453,232,6
1454,232,1
1455,232,2
1456,232,3
1457,232,4
1458,235,6
1459,235,1
1460,235,2
1461,235,3
1462,250,6
1463,250,1
1464,250,2
1465,250,3
1466,251,1
1467,251,2
1468,251,3
1469,246,6
1470,228,6
1471,239,5
1472,233,6
1473,233,1
1474,233,2
1475,233,3
1476,234,6
1477,234,1
1478,234,2
1479,234,3
1480,234,4
1481,244,6
1482,229,6
1483,229,4
1484,227,1
1485,227,2
1486,227,3
1487,227,4
1488,227,5
1489,241,4
1490,249,1
1491,249,2
1492,249,3
1493,238,6
1494,243,1
1495,243,2
1496,243,3
1497,230,6
1498,230,1
1499,230,2
1500,230,3
1501,230,4
1502,226,6
1503,226,1
1504,226,2
1505,226,3
1506,226,4
1507,231,1
1508,231,2
1509,231,3
1510,242,4
1511,242,5
1512,232,6
1513,232,1
1514,232,2
1515,232,3
1516,232,4
1517,235,6
1518,235,1
1519,235,2
1520,235,3
1521,250,6
1522,250,1
1523,250,2
1524,250,3
1525,251,1
1526,251,2
1527,251,3
1528,246,6
1529,228,6
1530,239,5
1531,233,6
1532,233,1
1533,233,2
1534,233,3
1535,234,6
1536,234,1
1537,234,2
1538,234,3
1539,234,4
1540,244,6
1541,229,6
1542,229,4
1543,227,1
1544,227,2
1545,227,3
1546,227,4
1547,227,5
1548,241,4
1549,249,1
1550,249,2
1551,249,3
1552,238,6
1553,243,1
1554,243,2
1555,243,3
1556,230,6
1557,230,1
1558,230,2
1559,230,3
1560,230,4
1561,272,1
1562,272,2
1563,272,3
1564,257,1
1565,257,2
1566,257,3
1567,256,1
1568,256,2
1569,256,3
1570,255,1
1571,255,2
1572,255,3
1573,253,1
1574,253,2
1575,253,3
1576,252,1
1577,252,2
1578,252,3
1579,266,6
1580,266,1
1581,266,2
1582,266,3
1583,266,5
1584,264,1
1585,264,2
1586,264,3
1587,264,4
1588,265,6
1589,265,1
1590,265,2
1591,265,3
1592,265,5
1593,251,6
1594,259,6
1595,259,1
1596,259,2
1597,259,3
1598,259,4
1599,269,1
1600,269,2
1601,269,3
1602,268,1
1603,268,2
1604,268,3
1605,267,1
1606,267,2
1607,267,3
1608,262,6
1609,262,1
1610,262,3
1611,274,1
1612,274,2
1613,274,3
1614,273,1
1615,273,2
1616,273,3
1617,273,4
1618,271,1
1619,271,2
1620,271,3
1621,271,4
1622,271,5
1623,261,1
1624,261,2
1625,261,3
1626,261,4
1627,254,1
1628,254,2
1629,254,3
1630,275,1
1631,275,2
1632,275,3
1633,260,1
1634,260,2
1635,260,3
1636,260,4
1637,272,1
1638,272,2
1639,272,3
1640,257,1
1641,257,2
1642,257,3
1643,256,1
1644,256,2
1645,256,3
1646,255,1
1647,255,2
1648,255,3
1649,253,1
1650,253,2
1651,253,3
1652,252,1
1653,252,2
1654,252,3
1655,266,6
1656,266,1
1657,266,2
1658,266,3
1659,266,5
1660,264,1
1661,264,2
1662,264,3
1663,264,4
1664,265,6
1665,265,1
1666,265,2
1667,265,3
1668,265,5
1669,251,6
1670,259,6
1671,259,1
1672,259,2
1673,259,3
1674,259,4
1675,269,1
1676,269,2
1677,269,3
1678,268,1
1679,268,2
1680,268,3
1681,267,1
1682,267,2
1683,267,3
1684,262,6
1685,262,1
1686,262,3
1687,274,1
1688,274,2
1689,274,3
1690,273,1
1691,273,2
1692,273,3
1693,273,4
1694,271,1
1695,271,2
1696,271,3
1697,271,4
1698,271,5
1699,261,1
1700,261,2
1701,261,3
1702,261,4
1703,254,1
1704,254,2
1705,254,3
1706,275,1
1707,275,2
1708,275,3
1709,260,1
1710,260,2
1711,260,3
1712,260,4
1713,293,6
1714,293,1
1715,293,2
1716,293,3
1717,293,4
1718,280,1
1719,280,2
1720,280,3
1721,281,1
1722,281,2
1723,281,3
1724,296,1
1725,296,2
1726,296,3
1727,288,6
1728,288,1
1729,288,2
1730,288,3
1731,288,4
1732,298,1
1733,298,2
1734,298,3
1735,299,1
1736,299,2
1737,287,1
1738,287,2
1739,287,3
1740,292,1
1741,292,2
1742,292,3
1743,285,1
1744,285,2
1745,285,3
1746,291,6
1747,291,1
1748,291,2
1749,291,3
1750,291,4
1751,279,1
1752,279,2
1753,279,3
1754,278,6
1755,278,1
1756,278,2
1757,278,3
1758,278,5
1759,283,6
1760,283,1
1761,283,2
1762,283,3
1763,283,4
1764,284,6
1765,284,1
1766,284,2
1767,284,3
1768,284,4
1769,289,6
1770,289,1
1771,289,2
1772,289,3
1773,286,1
1774,286,2
1775,286,3
1776,282,1
1777,282,2
1778,282,3
1779,297,1
1780,297,2
1781,297,3
1782,290,1
1783,290,2
1784,290,3
1785,295,1
1786,295,2
1787,295,3
1788,294,1
1789,294,2
1790,294,3
1791,293,6
1792,293,1
1793,293,2
1794,293,3
1795,293,4
1796,280,1
1797,280,2
1798,280,3
1799,281,1
1800,281,2
1801,281,3
1802,296,1
1803,296,2
1804,296,3
1805,288,6
1806,288,1
1807,288,2
1808,288,3
1809,288,4
1810,298,1
1811,298,2
1812,298,3
1813,299,1
1814,299,2
1815,287,1
1816,287,2
1817,287,3
1818,292,1
1819,292,2
1820,292,3
1821,285,1
1822,285,2
1823,285,3
1824,291,6
1825,291,1
1826,291,2
1827,291,3
1828,291,4
1829,279,1
1830,279,2
1831,279,3
1832,278,6
1833,278,1
1834,278,2
1835,278,3
1836,278,5
1837,283,6
1838,283,1
1839,283,2
1840,283,3
1841,283,4
1842,284,6
1843,284,1
1844,284,2
1845,284,3
1846,284,4
1847,289,6
1848,289,1
1849,289,2
1850,289,3
1851,286,1
1852,286,2
1853,286,3
1854,282,1
1855,282,2
1856,282,3
1857,297,1
1858,297,2
1859,297,3
1860,290,1
1861,290,2
1862,290,3
1863,295,1
1864,295,2
1865,295,3
1866,294,1
1867,294,2
1868,294,3
1869,320,1
1870,320,2
1871,320,3
1872,320,4
1873,316,4
1874,302,1
1875,302,2
1876,302,3
1877,302,4
1878,323,1
1879,321,1
1880,321,2
1881,321,3
1882,321,4
1883,299,3
1884,299,4
1885,311,5
1886,303,1
1887,303,2
1888,303,3
1889,318,1
1890,318,2
1891,318,3
1892,306,1
1893,306,2
1894,306,3
1895,308,1
1896,308,2
1897,308,3
1898,308,4
1899,300,6
1900,300,1
